episode,time,cart_pos,cart_vel,pole_angle,pole_vel,action,reward
0,0.92,-1.0487274,-0.2076104,2.7884245,1.1600571,0.2675093710422516,1.1740763187408447
0,0.9400000000000001,-1.001304,-0.18790469,2.7617378,1.1160067,0.2579308748245239,1.1995368003845215
0,0.96,-0.95445335,-0.16899383,2.726126,1.0677565,0.25009724497795105,1.2245186567306519
0,0.98,-0.9082827,-0.15091984,2.6851006,1.017735,0.2438318431377411,1.2485284805297852
0,1.0,-0.86284834,-0.13368936,2.641466,0.9678813,0.23890653252601624,1.2712539434432983
0,1.02,-0.8181675,-0.117281966,2.5973487,0.91965455,0.23507407307624817,1.2925277948379517
0,1.04,-0.7742288,-0.101657875,2.5542595,0.8740757,0.23209193348884583,1.3122879266738892
0,1.06,-0.731002,-0.08676453,2.5131845,0.8317899,0.22973746061325073,1.3305439949035645
0,1.08,-0.6884453,-0.0725423,2.4746811,0.79313344,0.22782033681869507,1.3473479747772217
0,1.1,-0.6465117,-0.05892875,2.438978,0.7582082,0.22617968916893005,1.3627738952636719
0,1.12,-0.6051533,-0.04586189,2.4060597,0.72694147,0.22468695044517517,1.376904010772705
0,1.1400000000000001,-0.56432503,-0.033282463,2.375743,0.69914186,0.22323796153068542,1.3898193836212158
0,1.16,-0.52398616,-0.021135459,2.3477314,0.67453945,0.22175174951553345,1.4015958309173584
0,1.18,-0.48410192,-0.009371032,2.321661,0.65281963,0.2201642096042633,1.4123014211654663
0,1.2,-0.44464424,0.0020550408,2.2971325,0.63364667,0.21842452883720398,1.4219958782196045
0,1.22,-0.40559208,0.013181192,2.273734,0.6166793,0.2164919376373291,1.4307317733764648
0,1.24,-0.3669315,0.02404011,2.2510557,0.6015818,0.2143324315547943,1.4385552406311035
0,1.26,-0.32865536,0.034658898,2.228698,0.58803,0.21191781759262085,1.4455077648162842
0,1.28,-0.29076308,0.04505934,2.206279,0.5757151,0.20922347903251648,1.451627492904663
0,1.3,-0.25326043,0.05525817,2.1834357,0.5643457,0.2062259316444397,1.4569505453109741
0,1.32,-0.21615925,0.065267354,2.1598232,0.5536461,0.20290431380271912,1.4615123271942139
0,1.34,-0.17947689,0.07509436,2.1351178,0.5433563,0.1992376744747162,1.4653486013412476
0,1.36,-0.14323612,0.08474238,2.1090102,0.5332302,0.19520536065101624,1.4684960842132568
0,1.3800000000000001,-0.10746481,0.0942106,2.0812073,0.523033,0.19078662991523743,1.4709937572479248
0,1.4000000000000001,-0.07219564,0.10349428,2.0514271,0.51254016,0.18596014380455017,1.4728821516036987
0,1.42,-0.037466023,0.11258498,2.0193992,0.50153446,0.18070468306541443,1.4742043018341064
0,1.44,-0.0033178932,0.12147062,1.9848604,0.48980442,0.17499998211860657,1.4750055074691772
0,1.46,0.030202443,0.13013561,1.9475582,0.47714496,0.16882482171058655,1.4753327369689941
0,1.48,0.06304442,0.13856089,1.9072448,0.46335384,0.16216173768043518,1.4752342700958252
0,1.5,0.09515338,0.14672406,1.8636838,0.4482354,0.154994398355484,1.4747591018676758
0,1.52,0.12647073,0.15459943,1.8166493,0.43159932,0.14731141924858093,1.4739553928375244
0,1.54,0.15693423,0.16215828,1.7659302,0.41326368,0.13910862803459167,1.472869873046875
0,1.56,0.18647835,0.16936886,1.7113391,0.3930604,0.13038849830627441,1.471545934677124
0,1.58,0.21503468,0.17619686,1.6527166,0.37083822,0.12116679549217224,1.4700230360031128
0,1.6,0.24253261,0.18260573,1.5899452,0.3464721,0.1114698052406311,1.4683349132537842
0,1.62,0.26890028,0.18855727,1.5229584,0.31986868,0.101340651512146,1.4665086269378662
0,1.6400000000000001,0.29406536,0.19401218,1.4517539,0.29097638,0.09083706140518188,1.4645649194717407
0,1.6600000000000001,0.3179566,0.19893105,1.3764063,0.25979263,0.08003482222557068,1.4625177383422852
0,1.68,0.34050518,0.20327508,1.2970788,0.22637294,0.0690259337425232,1.4603748321533203
0,1.7,0.36164638,0.20700742,1.2140336,0.19083749,0.05791690573096275,1.458141565322876
0,1.72,0.38132122,0.21009417,1.1276366,0.15337488,0.046825673431158066,1.4558322429656982
0,1.74,0.39947844,0.21250558,1.038359,0.11424331,0.03588103875517845,1.4535223245620728
0,1.76,0.41607618,0.21421728,0.9467774,0.0737711,0.025215085595846176,1.4515774250030518
0,1.78,0.4310838,0.21521136,0.8535637,0.032350414,0.014960017055273056,1.4514414072036743
0,1.8,0.4444831,0.21547745,0.7594727,-0.0095704915,0.00524463877081871,1.4576382637023926
0,1.82,0.45626974,0.21501343,0.6653264,-0.051497124,-0.0038130618631839752,1.4809645414352417
0,1.84,0.46645412,0.21382612,0.57199097,-0.092903584,-0.012108419090509415,1.5398976802825928
0,1.86,0.47506154,0.21193159,0.48035347,-0.1332474,-0.019556257873773575,1.6540884971618652
0,1.8800000000000001,0.4821326,0.20935515,0.39129353,-0.17198822,-0.026093456894159317,1.8282041549682617
0,1.9000000000000001,0.48772243,0.2061312,0.30565536,-0.20860584,-0.03168204799294472,2.0379037857055664
0,1.92,0.4918998,0.20230253,0.22421975,-0.24261908,-0.03630969300866127,2.235039234161377
0,1.94,0.4947457,0.1979195,0.147679,-0.27360252,-0.039991918951272964,2.3722317218780518
0,1.96,0.49635157,0.19303878,0.076612055,-0.3012034,-0.04276737943291664,2.4265198707580566
0,1.98,0.496817,0.18772204,0.011469452,-0.32515213,-0.04469582810997963,2.4045677185058594
0,2.0,0.4962475,0.18203452,-0.047437124,-0.3452695,-0.04585495963692665,2.3311617374420166
0,2.02,0.49475205,0.17604317,-0.09993985,-0.36147082,-0.04633435979485512,2.234032154083252
0,2.04,0.49244076,0.16981527,-0.14601108,-0.37376362,-0.04623088613152504,2.134448766708374
0,2.06,0.4894225,0.16341694,-0.18575406,-0.3822415,-0.045645419508218765,2.044846773147583
0,2.08,0.48580277,0.15691158,-0.21939068,-0.38707644,-0.044676635414361954,1.9705103635787964
